file_path,file_size,file_md5,is_symlink,file_size_h,folder
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Chapter-  Regulators from Umanand (1).pdf,133958932.0,ab7e2a6ad2a2f11bfab889a24d68e445,False,127.75 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Chapter-  Regulators from Umanand.pdf,133958932.0,ab7e2a6ad2a2f11bfab889a24d68e445,False,127.75 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC
/Users/arunpatro/My Drive/Books/nise.pdf,117847737.0,451831150c212455d57e637691260c99,False,112.39 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Books/Controls/Norman S. Nise - Control Systems Engineering-Wiley (2010).pdf,117847737.0,451831150c212455d57e637691260c99,False,112.39 MB,/Users/arunpatro/My Drive/Books/Controls
/Users/arunpatro/My Drive/Books/Bimbhra.pdf,104088652.0,8233349d3530d562e0566df55b528415,False,99.27 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Books/Power EC/Bimbhra.pdf,104088652.0,8233349d3530d562e0566df55b528415,False,99.27 MB,/Users/arunpatro/My Drive/Books/Power EC
/Users/arunpatro/My Drive/Books/Erickson and Maksimovic.pdf,59182824.0,8e533245705cf29c4d3b781a5c8e43ba,False,56.44 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Books/Power EC/Erickson and Maksimovic.pdf,59182824.0,8e533245705cf29c4d3b781a5c8e43ba,False,56.44 MB,/Users/arunpatro/My Drive/Books/Power EC
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Electronics Notes.pdf,39928798.0,302c13515f9dfde878bccb92c6979885,False,38.08 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics Notes.pdf,39928798.0,302c13515f9dfde878bccb92c6979885,False,38.08 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics
/Users/arunpatro/My Drive/Books/Chapman.pdf,39094034.0,edbcd89dabba9fe9f97c11c38982b1d8,False,37.28 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Books/Chapman (1).pdf,39094034.0,edbcd89dabba9fe9f97c11c38982b1d8,False,37.28 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Books/Power EC/Ned Mohan.pdf,35093028.0,eae800a95b2efb24dde7b9eb32713147,False,33.47 MB,/Users/arunpatro/My Drive/Books/Power EC
/Users/arunpatro/My Drive/Books/Power EC/Mohan_Power_Electronics_Converters_Applications_Design.pdf,35093028.0,eae800a95b2efb24dde7b9eb32713147,False,33.47 MB,/Users/arunpatro/My Drive/Books/Power EC
/Users/arunpatro/My Drive/Books/Ned Mohan.pdf,35093028.0,eae800a95b2efb24dde7b9eb32713147,False,33.47 MB,/Users/arunpatro/My Drive/Books
