file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 7/DIP.tar.gz,900377195,eb9aa209b97897d2e4be77726efdeb27,False
/Users/arunpatro/My Drive/Backup/2014-05-06-10-02-28.bag,628645890,9a752b9015087fc3b1342472bc4bc285,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 7/ASP.tar.gz,593173365,f416f599eb0151ff4d9abff0a5d3a493,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170517_141246715.mp4,575272427,c261e48482f006971d1073d40f8980bf,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150117_214309699.mp4,479239264,56ce763a1c74d0d3356c1d6da97b94a8,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 7/DSP.tar.gz,437732886,a47cb6d9328d8b84a058a3783d92caee,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_122308607.mp4,354981923,49530a6c693d5ea34af89d3bbf45d766,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150329_013336807.mp4,326477026,6d45d6ea0aa2ee49b1c68f5ec4d19bed,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180101_150214582.mp4,297383730,fde6f65f8f9621674a0b1b8f3431b333,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20151003_192849781.mp4,240223556,23c61378076a4e86244c8a3194136e13,False
/Users/arunpatro/My Drive/Google Photos/2016/VID_20161213_110139.mp4,228378761,1cc04670eb365f60572edc29bfd9b096,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/torchDB.mat,226743338,dfd4255f785287c71dd6d3453ad1dc69,False
/Users/arunpatro/My Drive/Google Photos/2019/VID_20190615_091653038.mp4,218119867,e98d50a1e5d18d9c8bf791b2ac7b085b,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/lenet30.t7,215290974,08dc9555f680422d455a3b8233a26dd4,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150523_141249.mp4,201785063,01257e7bc021fbccf4c733fd9a7c9b35,False
"/Users/arunpatro/My Drive/Books/Academic/Physics/Introduction to Solid State Physics 7th edition- Kittel, Charles.pdf",188477949,326bc83ea4cb8e21dde01eb72b902d75,False
/Users/arunpatro/My Drive/Books/EE/Morris Mano.pdf,186487769,7b7b3f59d8004ef14cb990499e1a0a25,False
/Users/arunpatro/My Drive/Google Photos/2014/Coldplay - Every Teardrop Is A Waterfall.mp4,185146165,ae241407678a593143a1b07fb06b444f,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150118_221219130.mp4,179609959,071c36a41699327f7ffc711106d0951f,False
/Users/arunpatro/My Drive/Google Photos/2014/[Royce] Eminem - Rap God (Explicit).mp4,177980219,ffc4587783f850c4790c0d2b5129685b,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/trainSig30small.t7,172200302,0da99beb0958e49565e88f972969545a,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/train.t7,172200302,298ba101d891ce0c7f2310c487e57e91,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150524_125702828.mp4,160543875,8d02f24e893bf5cbb35e2ef4bbb710ab,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150118_181303531.mp4,159437776,38b6bb299518a7670cd171a81093e16f,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150524_123617121.mp4,155951599,6f67b556b4ab6c1e393452d042bad491,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_143857696.mp4,153408594,385356bf489112ffc749f3f55124574c,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/power electronics.pdf,150487076,a1d2fd2e721e3656a3ec333a66f78257,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180722_160736221.mp4,149706462,e4f3d3ccc1b4e917f8a4927bd415ae2c,False
