Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/lab record')",46,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/lab record
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems')",116,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
"('/Users/arunpatro/My Drive/Google Photos/2017', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Instru Lab Expts/expt_6_photos')",39,/Users/arunpatro/My Drive/Google Photos/2017,/Users/arunpatro/My Drive/IIT - KGP/Acads/Instru Lab Expts/expt_6_photos
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs', '/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2')",38,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Control Systems Tutorials', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Tuts')",9,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Control Systems Tutorials,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Tuts
"('/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads', '/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads')",19,/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads,/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Power EC NPTEL', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Power EC NPTEL')",44,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Power EC NPTEL,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Power EC NPTEL
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC')",3,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/Personal Photos')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/Personal Photos
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/lectures', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/slides')",12,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/lectures,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/slides
